"section","in_resume","title","loc","institution","start","end","description_1","description_2","description_3"
"industry_positions","TRUE","BI Developer","Looqbox","São Paulo, SP","2019","Present","Desenvolver relatórios e visualizações de BI em R, Python e SQL.","Contribuidor do pacote R interno Looqbox.","NA"
"education","TRUE","MITx Micromaster Program in Statistics and Data Science","MITx na edX","","2020","Present","O programa aborda os conceitos fundamentais de Ciência de Dados, Estatística e Machine Learning com o máximo de rigor matemático.","",""
"education","TRUE","Bacharelado em Engenharia de Computação","Universidade Federal do Rio Grande Do Norte - UFRN","Natal, RN","2018","2019","Membro do time de Modelagem e análise científica de dados.","",""
"education","TRUE","Bacharelado em Ciências e Tecnologia","Universidade Federal do Rio Grande Do Norte","Natal, RN","2015","2017","Monitor de Álgebra Linear e Geometria Analítica.","Monitor de Cálculo Diferencial Integral II.","NA"
"research_positions","TRUE","Iniciação Científica","Instituto Metrópole Digital","UFRN","2018","2019","Desenvolvi um sistema de monitoramento de tráfego no trânsito com Inteligência Artificial para detecção de veículos em imagens.","NA","NA"
"research_positions","TRUE","Iniciação Científica","Departamento de Informática e Matemática Aplicada","UFRN","2016","2017","Desenvolvi um provador de teoremas interativo baseado em Lógica Linear usando a Linguagem de Programação Maude.","NA","NA"
"teaching_positions","FALSE","Javascript for Shiny Users","RStudio::conf 2020","NA","NA","2020","Served as TA descrição da publicaçãofor two day workshop on how to leverage Javascript in Shiny applications","Lectured on [using R2D3 package to build interactive visualizations.](http://nickstrayer.me/js4shiny_r2d3/slides)",""
"data_science_writings","TRUE","[Clustering with K-means: simple yet powerful](https://medium.com/@alexandre.hsd/everything-you-need-to-know-about-clustering-with-k-means-722f743ef1c4)","Medium","NA","NA","Mar. 2019","O que é Clusterização, e os prós e contras de usar o algoritmo K-means.","NA","NA"
"data_science_writings","TRUE","[An introduction to Linear Regression](https://medium.com/@alexandre.hsd/an-introduction-to-linear-regression-13527642f49)","Medium","NA","NA","Mar. 2019","Busca explicar todas as hipóteses por trás de um modelo de Regressão Linear, como medir sua performance, e como implementá-los em  Python.","NA","NA"
"about_me_press","FALSE","[Swipe right for science: Papr app is ‘Tinder for preprints’](https://www.nature.com/news/swipe-right-for-science-papr-app-is-tinder-for-preprints-1.22163)","Nature News","N/A","2017","2017","Second press article for app Papr.","NA","NA"
"by_me_press","FALSE","[A Trail of Terror in Nice, Block by Block](https://www.nytimes.com/interactive/2016/07/14/world/europe/trail-of-terror-france.html)","The New York Times","N/A","2016","2016","Led research effort to put together story of 2016 terrorist attack in Nice, France in less than 12 hours.","Work won Silver medal at Malofiej 2017, and gold at Society of News and Design.","NA"
"academic_articles","TRUE","[Performance Evaluation of an Edge OBD-II Device for Industry 4.0](https://ieeexplore.ieee.org/document/8792885)","Institute of Electrical and Electronics Engineers - IEEE","N/A","NA","Jun. 2019","Autores: Ivanovitch Silva, Paolo Ferrari, Diego Silva, Marianne Silva, and Gabriel Signoretti.","NA","NA"
"talks","TRUE","Entenda o que é a Ciência de Dados","Arduino Day 2019: Uma celebração mundial do Arduino","UFRN","NA","Março de 2019","O que é Ciência de Dados e como se tornar um cientista de dados.","NA","NA"
"talks","TRUE","Predição de Estrelas Pulsares: Como a Ciência de Dados nos ajuda a entender o Universo","II seminário de aplicações em Ciência de Dados","UFRN","NA","Dezembro de 2018","Qual a relevância científica sobre a detecção de Estrelas Pulsares e como implementar uma rede neural simples para superar o algoritmo XGBoost.","NA","NA"
"certificates","TRUE","Carreiras completas na plataforma online DataCamp","DataCamp","NA","2018","2019","Data Scientist with Python.<li> Data Analyst with Python.</li><li> Data Manipulation with Python.</li><li> Machine Learning with Python.</li><li> Importing & Cleaning Data with Python.</li><li> Python Programming.</li><li> Python Programmer.</li>","NA","NA"
